census_block_2010,feature_type,feature_subtype,year,week,value,feature_id
2006,Restaurant Total,3,49,2015,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,49,2016,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,50,2012,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,50,2013,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,50,2014,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,51,2010,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,51,2011,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,51,2012,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,52,2008,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,52,2016,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,53,2008,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,3,53,2016,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,1,2015,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,1,2016,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,2,2016,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,3,2012,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,3,2015,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,4,2012,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,5,2016,2,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,6,2009,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,6,2016,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,7,2017,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,8,2017,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,10,2017,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,12,2015,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,12,2016,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,12,2017,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,13,2009,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,13,2017,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,14,2015,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,16,2011,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,16,2012,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,16,2014,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,17,2011,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,17,2014,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,19,2012,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,19,2017,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,20,2011,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,23,2012,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,25,2009,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,25,2017,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,26,2008,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,26,2017,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,28,2016,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,29,2016,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,30,2011,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,31,2013,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,32,2010,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,33,2010,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,33,2014,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,33,2016,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,33,2017,2,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,34,2014,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,36,2013,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,40,2011,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,44,2015,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,45,2016,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,46,2016,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,50,2014,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,52,2014,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,4,52,2015,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,5,1,2014,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,5,3,2011,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,5,3,2015,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,5,4,2011,1,restaurant_violations_rodent_or_trash
2006,Restaurant Total,5,4,2015,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,5,5,2011,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,5,5,2012,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,5,6,2011,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,5,6,2013,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,5,6,2015,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,5,7,2015,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,5,8,2012,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,5,8,2014,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,5,9,2014,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,5,9,2015,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,5,10,2011,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,5,10,2013,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,5,10,2014,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,5,10,2015,0,restaurant_violations_rodent_or_trash
2006,Restaurant Total,5,11,2010,0,restaurant_violations_rodent_or_trash
