,feature_id,feature_type,feature_subtype,year,week,census_block_2010,value
303,weather_average_maximum_temperature,,,2015,25,,329.42857142857144
304,weather_total_precipitation,,,2015,26,,1034
305,weather_average_temperature,,,2015,26,,261.85714285714283
306,weather_average_minimum_temperature,,,2015,26,,217.57142857142858
307,weather_average_maximum_temperature,,,2015,26,,303.2857142857143
308,weather_total_precipitation,,,2015,27,,562
309,weather_average_temperature,,,2015,27,,245.57142857142858
310,weather_average_minimum_temperature,,,2015,27,,203.28571428571428
311,weather_average_maximum_temperature,,,2015,27,,292.85714285714283
312,weather_total_precipitation,,,2015,28,,320
313,weather_average_temperature,,,2015,28,,276.42857142857144
314,weather_average_minimum_temperature,,,2015,28,,242.14285714285714
315,weather_average_maximum_temperature,,,2015,28,,320.57142857142856
316,weather_total_precipitation,,,2015,29,,21
317,weather_average_temperature,,,2015,29,,267.2857142857143
318,weather_average_minimum_temperature,,,2015,29,,230.85714285714286
319,weather_average_maximum_temperature,,,2015,29,,312.0
320,weather_total_precipitation,,,2015,30,,0
321,weather_average_temperature,,,2015,30,,284.14285714285717
322,weather_average_minimum_temperature,,,2015,30,,234.14285714285714
323,weather_average_maximum_temperature,,,2015,30,,327.7142857142857
324,weather_total_precipitation,,,2015,31,,374
325,weather_average_temperature,,,2015,31,,283.57142857142856
326,weather_average_minimum_temperature,,,2015,31,,240.57142857142858
327,weather_average_maximum_temperature,,,2015,31,,332.2857142857143
328,weather_total_precipitation,,,2015,32,,23
329,weather_average_temperature,,,2015,32,,273.2857142857143
330,weather_average_minimum_temperature,,,2015,32,,230.0
331,weather_average_maximum_temperature,,,2015,32,,319.85714285714283
332,weather_total_precipitation,,,2015,33,,124
333,weather_average_temperature,,,2015,33,,252.85714285714286
334,weather_average_minimum_temperature,,,2015,33,,206.42857142857142
335,weather_average_maximum_temperature,,,2015,33,,306.85714285714283
336,weather_total_precipitation,,,2015,34,,43
337,weather_average_temperature,,,2015,34,,261.7142857142857
338,weather_average_minimum_temperature,,,2015,34,,216.57142857142858
339,weather_average_maximum_temperature,,,2015,34,,314.2857142857143
340,weather_total_precipitation,,,2015,35,,104
341,weather_average_temperature,,,2015,35,,243.14285714285714
342,weather_average_minimum_temperature,,,2015,35,,196.0
343,weather_average_maximum_temperature,,,2015,35,,297.7142857142857
344,weather_total_precipitation,,,2015,36,,0
345,weather_average_temperature,,,2015,36,,271.14285714285717
346,weather_average_minimum_temperature,,,2015,36,,227.0
347,weather_average_maximum_temperature,,,2015,36,,328.57142857142856
348,weather_total_precipitation,,,2015,37,,69
349,weather_average_temperature,,,2015,37,,248.57142857142858
350,weather_average_minimum_temperature,,,2015,37,,201.57142857142858
351,weather_average_maximum_temperature,,,2015,37,,295.14285714285717
352,weather_total_precipitation,,,2015,38,,0
353,weather_average_temperature,,,2015,38,,226.14285714285714
354,weather_average_minimum_temperature,,,2015,38,,169.85714285714286
355,weather_average_maximum_temperature,,,2015,38,,292.2857142857143
356,weather_total_precipitation,,,2015,39,,58
