"inspection_id","latitude","longitude"
244,38.900278,-76.997356
245,38.900278,-76.997356
246,38.900278,-76.997356
247,38.907933,-76.999865
248,38.907933,-76.999865
249,38.907933,-76.999865
250,38.908087,-76.999784
251,38.908087,-76.999784
252,38.908138,-76.999713
253,38.908414,-76.999732
254,38.908414,-76.999732
255,38.906706,-76.999431
256,38.888365,-76.983724
257,38.888365,-76.983724
258,38.888365,-76.983724
259,38.907031,-77.003557
260,38.907031,-77.003557
261,38.907031,-77.003557
262,38.907031,-77.003557
263,38.907031,-77.003557
264,38.909093,-76.999128
265,38.909093,-76.999128
266,38.908713,-76.998126
267,38.908713,-76.998126
268,38.908744,-76.998109
269,38.908744,-76.998109
270,38.908218,-76.982147
271,38.907273,-77.008932
272,38.907273,-77.008932
273,38.908138,-76.999713
274,38.908138,-76.999713
275,38.908138,-76.999713
276,38.908138,-76.999713
277,38.908138,-76.999713
278,38.908138,-76.999713
279,38.908138,-76.999713
280,38.908138,-76.999713
281,38.908138,-76.999713
282,38.908138,-76.999713
283,38.908138,-76.999713
284,38.908138,-76.999713
285,38.907425,-76.998939
286,38.899319,-77.018854
287,38.899319,-77.018854
288,38.899319,-77.018854
289,38.908138,-76.999713
290,38.908138,-76.999713
291,38.907031,-77.003557
292,38.908138,-76.999713
293,38.908138,-76.999713
294,38.908138,-76.999713
295,38.908138,-76.999713
296,38.908138,-76.999713
297,38.908221,-76.99853
298,38.908138,-76.999713
299,38.908138,-76.999713
300,38.908138,-76.999713
301,38.905568,-77.005191
302,38.905568,-77.005191
303,38.905568,-77.005191
304,38.900275,-76.988
305,38.924285,-76.987155
306,38.924285,-76.987155
307,38.924285,-76.987155
308,38.900275,-76.987867
309,38.900275,-76.987867
310,38.900275,-76.987867
311,38.900275,-76.987867
312,38.900275,-76.987867
313,38.900275,-76.987867
314,38.900275,-76.987867
315,38.900275,-76.987867
316,38.900275,-76.987867
317,38.900275,-76.987867
318,38.900275,-76.987867
319,38.900275,-76.987867
320,38.900275,-76.987867
321,38.901567,-76.987411
322,38.901567,-76.987411
323,38.909397,-76.998877
324,38.909397,-76.998877
325,38.909397,-76.998877
326,38.909397,-76.998877
327,38.907753,-76.99994
328,38.924396,-76.98688
329,38.924396,-76.98688
330,38.924396,-76.98688
331,38.924396,-76.98688
332,38.909115,-76.997907
333,38.909115,-76.997907
334,38.909115,-76.997907
335,38.9002,-76.987402
336,38.9002,-76.987402
337,38.924284,-76.986417
338,38.924284,-76.986417
339,38.924284,-76.986417
340,38.924284,-76.986417
341,38.90981,-76.998756
342,38.90981,-76.998756
343,38.90981,-76.998756
344,38.90981,-76.998756
345,38.924786,-76.986318
346,38.914291,-76.986137
347,38.914291,-76.986137
348,38.900123,-76.987033
349,38.900123,-76.987033
350,38.900123,-76.987033
351,38.900123,-76.986987
352,38.924827,-76.986274
353,38.924827,-76.986274
354,38.924827,-76.986274
355,38.900123,-76.986848
356,38.900123,-76.986848
357,38.900123,-76.986848
358,38.900123,-76.986848
359,38.900123,-76.986848
360,38.900272,-76.986801
361,38.900272,-76.986801
362,38.915242,-76.986614
363,38.915242,-76.986614
364,38.915242,-76.986614
365,38.915242,-76.986614
366,38.915242,-76.986614
367,38.900122,-76.986756
368,38.901157,-76.986343
369,38.901157,-76.986343
370,38.900272,-76.986395
371,38.900272,-76.986349
372,38.900272,-76.986349
373,38.900272,-76.986349
374,38.900272,-76.986349
375,38.900272,-76.986349
376,38.900272,-76.986349
377,38.91692,-77.005033
378,38.889876,-76.986294
379,38.889876,-76.986294
380,38.900718,-76.985161
381,38.900196,-76.985503
382,38.900196,-76.985503
383,38.900196,-76.985503
384,38.900196,-76.985503
385,38.900196,-76.985503
386,38.900196,-76.985503
387,38.899231,-76.985503
388,38.899231,-76.985503
389,38.899231,-76.985503
390,38.899231,-76.985503
391,38.924619,-76.985622
392,38.924619,-76.985622
393,38.900121,-76.985367
394,38.900121,-76.985367
395,38.900121,-76.985367
396,38.900121,-76.985367
397,38.900121,-76.985141
398,38.900121,-76.985141
399,38.900121,-76.985141
400,38.900076,-76.983445
401,38.900076,-76.983445
402,38.900076,-76.983445
403,38.900076,-76.983445
404,38.900076,-76.983445
405,38.900076,-76.983445
406,38.900076,-76.983445
407,38.900076,-76.983445
408,38.889875,-76.983549
409,38.889875,-76.983549
410,38.889875,-76.983549
411,38.889875,-76.983502
412,38.889875,-76.983502
413,38.909863,-76.936054
414,38.925713,-76.983231
415,38.910133,-77.009096
416,38.910133,-77.009096
417,38.910133,-77.009096
418,38.911747,-76.934694
419,38.910217,-76.935758
420,38.900074,-76.982629
421,38.900074,-76.982629
422,38.900074,-76.982629
423,38.900074,-76.982629
424,38.925935,-76.983025
425,38.900675,-76.98208
426,38.900675,-76.98208
427,38.921327,-76.996192
428,38.921327,-76.996192
429,38.921327,-76.996192
430,38.921327,-76.996192
431,38.921327,-76.996192
432,38.899982,-76.982517
433,38.899982,-76.982517
434,38.899982,-76.982517
435,38.901164,-76.980879
436,38.901164,-76.980879
437,38.901164,-76.980879
438,38.901164,-76.980879
439,38.901164,-76.980879
440,38.901164,-76.980879
441,38.901164,-76.980879
442,38.901164,-76.980879
443,38.926379,-76.982072
444,38.926379,-76.982072
445,38.926269,-76.981963
446,38.926269,-76.981963
447,38.911747,-76.934694
448,38.911747,-76.934694
449,38.916595,-76.983349
450,38.89701,-76.961181
451,38.89701,-76.961181
452,38.89701,-76.961181
453,38.89701,-76.961181
454,38.89701,-76.961181
455,38.912599,-77.009048
456,38.912599,-77.009048
457,38.90961,-76.985302
458,38.90961,-76.985302
459,38.91336,-77.009066
460,38.91336,-77.009066
461,38.91336,-77.009066
462,38.91336,-77.009066
463,38.91336,-77.009066
464,38.91336,-77.009066
465,38.942258,-76.981565
466,38.942258,-76.981565
467,38.917153,-76.980369
468,38.919449,-76.978616
469,38.919449,-76.978616
470,38.919449,-76.978616
471,38.919449,-76.978616
472,38.919449,-76.978616
473,38.919449,-76.978616
474,38.89385,-77.044086
475,38.89385,-77.044086
476,38.89385,-77.044086
477,38.927955,-76.978438
478,38.927955,-76.978438
479,38.927955,-76.978438
480,38.89385,-77.044086
481,38.89385,-77.044086
482,38.89385,-77.044086
483,38.89385,-77.044086
