inspection_id,latitude,longitude,census_block
427,38.921327,-76.996192,2021
428,38.921327,-76.996192,2021
429,38.921327,-76.996192,2021
430,38.921327,-76.996192,2021
431,38.921327,-76.996192,2021
432,38.899982,-76.982517,4001
433,38.899982,-76.982517,4001
434,38.899982,-76.982517,4001
435,38.901164,-76.980879,1014
436,38.901164,-76.980879,1014
437,38.901164,-76.980879,1014
438,38.901164,-76.980879,1014
439,38.901164,-76.980879,1014
440,38.901164,-76.980879,1014
441,38.901164,-76.980879,1014
442,38.901164,-76.980879,1014
443,38.926379,-76.982072,3023
444,38.926379,-76.982072,3023
445,38.926269,-76.981963,1002
446,38.926269,-76.981963,1002
447,38.911747,-76.934694,1012
448,38.911747,-76.934694,1012
449,38.916595,-76.983349,2014
450,38.89701,-76.961181,1000
451,38.89701,-76.961181,1000
452,38.89701,-76.961181,1000
453,38.89701,-76.961181,1000
454,38.89701,-76.961181,1000
455,38.912599,-77.009048,2004
456,38.912599,-77.009048,2004
457,38.90961,-76.985302,2004
458,38.90961,-76.985302,2004
459,38.91336,-77.009066,2000
460,38.91336,-77.009066,2000
461,38.91336,-77.009066,2000
462,38.91336,-77.009066,2000
463,38.91336,-77.009066,2000
464,38.91336,-77.009066,2000
465,38.942258,-76.981565,2015
466,38.942258,-76.981565,2015
467,38.917153,-76.980369,1000
468,38.919449,-76.978616,3016
469,38.919449,-76.978616,3016
470,38.919449,-76.978616,3016
471,38.919449,-76.978616,3016
472,38.919449,-76.978616,3016
473,38.919449,-76.978616,3016
474,38.89385,-77.044086,1045
475,38.89385,-77.044086,1045
476,38.89385,-77.044086,1045
477,38.927955,-76.978438,2017
478,38.927955,-76.978438,2017
479,38.927955,-76.978438,2017
480,38.89385,-77.044086,1045
481,38.89385,-77.044086,1045
482,38.89385,-77.044086,1045
483,38.89385,-77.044086,1045
484,38.89385,-77.044086,1045
485,38.89385,-77.044086,1045
486,38.894852,-76.978891,2000
487,38.89385,-77.044086,1045
488,38.89385,-77.044086,1045
489,38.89385,-77.044086,1045
490,38.89385,-77.044086,1045
491,38.89385,-77.044086,1045
492,38.89385,-77.044086,1045
493,38.89385,-77.044086,1045
494,38.89385,-77.044086,1045
495,38.89385,-77.044086,1045
496,38.89385,-77.044086,1045
