,feature_id,feature_type,feature_subtype,year,week,census_tract_2010,value
279,population,,,2014,,11001007502,5272.0
280,population,,,2014,,11001007503,2612.0
281,population,,,2014,,11001007504,2530.0
282,population,,,2014,,11001007601,3878.0
283,population,,,2014,,11001007603,3632.0
284,population,,,2014,,11001007604,3806.0
285,population,,,2014,,11001007605,3535.0
286,population,,,2014,,11001007703,4883.0
287,population,,,2014,,11001007707,4392.0
288,population,,,2014,,11001007708,2797.0
289,population,,,2014,,11001007709,1770.0
290,population,,,2014,,11001007803,3006.0
291,population,,,2014,,11001007804,3295.0
292,population,,,2014,,11001007806,2116.0
293,population,,,2014,,11001007807,2220.0
294,population,,,2014,,11001007808,4324.0
295,population,,,2014,,11001007809,2664.0
296,population,,,2014,,11001007901,4017.0
297,population,,,2014,,11001007903,1692.0
298,population,,,2014,,11001008001,3021.0
299,population,,,2014,,11001008002,3685.0
300,population,,,2014,,11001008100,3215.0
301,population,,,2014,,11001008200,3053.0
302,population,,,2014,,11001008301,2491.0
303,population,,,2014,,11001008302,2392.0
304,population,,,2014,,11001008402,2011.0
305,population,,,2014,,11001008410,1480.0
306,population,,,2014,,11001008701,2359.0
307,population,,,2014,,11001008702,1761.0
308,population,,,2014,,11001008802,4556.0
309,population,,,2014,,11001008803,1931.0
310,population,,,2014,,11001008804,2676.0
311,population,,,2014,,11001008903,3365.0
312,population,,,2014,,11001008904,3133.0
313,population,,,2014,,11001009000,2979.0
314,population,,,2014,,11001009102,5253.0
315,population,,,2014,,11001009201,1877.0
316,population,,,2014,,11001009203,2772.0
317,population,,,2014,,11001009204,2963.0
318,population,,,2014,,11001009301,3357.0
319,population,,,2014,,11001009302,1025.0
320,population,,,2014,,11001009400,4508.0
321,population,,,2014,,11001009501,6983.0
322,population,,,2014,,11001009503,3262.0
323,population,,,2014,,11001009504,3070.0
324,population,,,2014,,11001009505,2800.0
325,population,,,2014,,11001009507,1623.0
326,population,,,2014,,11001009508,3684.0
327,population,,,2014,,11001009509,3317.0
328,population,,,2014,,11001009601,2182.0
329,population,,,2014,,11001009602,3154.0
330,population,,,2014,,11001009603,2899.0
331,population,,,2014,,11001009604,2050.0
332,population,,,2014,,11001009700,3037.0
333,population,,,2014,,11001009801,1925.0
334,population,,,2014,,11001009802,1547.0
335,population,,,2014,,11001009803,2798.0
336,population,,,2014,,11001009804,2518.0
337,population,,,2014,,11001009807,3228.0
338,population,,,2014,,11001009810,2495.0
339,population,,,2014,,11001009811,4745.0
340,population,,,2014,,11001009901,2236.0
341,population,,,2014,,11001009902,2830.0
342,population,,,2014,,11001009903,1768.0
343,population,,,2014,,11001009904,2171.0
344,population,,,2014,,11001009905,2763.0
345,population,,,2014,,11001009906,1519.0
346,population,,,2014,,11001009907,2842.0
347,population,,,2014,,11001010100,2443.0
348,population,,,2014,,11001010200,2543.0
349,population,,,2014,,11001010300,3447.0
350,population,,,2014,,11001010400,4430.0
351,population,,,2014,,11001010500,3427.0
352,population,,,2014,,11001010600,5119.0
353,population,,,2014,,11001010700,1858.0
354,population,,,2014,,11001010800,6296.0
355,population,,,2014,,11001010900,4132.0
356,population,,,2014,,11001011000,3378.0
357,population,,,2014,,11001011100,5083.0
358,population,,,2015,,11001000100,5209.0
359,population,,,2015,,11001000201,3685.0
360,population,,,2015,,11001000202,4817.0
361,population,,,2015,,11001000300,6095.0
362,population,,,2015,,11001000400,1578.0
363,population,,,2015,,11001000501,3502.0
364,population,,,2015,,11001000502,2973.0
365,population,,,2015,,11001000600,4722.0
366,population,,,2015,,11001000701,5245.0
367,population,,,2015,,11001000702,3316.0
368,population,,,2015,,11001000801,6575.0
369,population,,,2015,,11001000802,3153.0
370,population,,,2015,,11001000901,7790.0
371,population,,,2015,,11001000902,2455.0
372,population,,,2015,,11001001001,7894.0
373,population,,,2015,,11001001002,3497.0
374,population,,,2015,,11001001100,4817.0
375,population,,,2015,,11001001200,4908.0
376,population,,,2015,,11001001301,4016.0
377,population,,,2015,,11001001302,7591.0
378,population,,,2015,,11001001401,3369.0
379,population,,,2015,,11001001402,3328.0
380,population,,,2015,,11001001500,6350.0
381,population,,,2015,,11001001600,4175.0
382,population,,,2015,,11001001702,3083.0
383,population,,,2015,,11001001803,4042.0
384,population,,,2015,,11001001804,5619.0
385,population,,,2015,,11001001901,3997.0
386,population,,,2015,,11001001902,2337.0
387,population,,,2015,,11001002001,2848.0
388,population,,,2015,,11001002002,3911.0
389,population,,,2015,,11001002101,5859.0
390,population,,,2015,,11001002102,4921.0
391,population,,,2015,,11001002201,3704.0
392,population,,,2015,,11001002202,3974.0
393,population,,,2015,,11001002301,3220.0
394,population,,,2015,,11001002302,1711.0
395,population,,,2015,,11001002400,4257.0
396,population,,,2015,,11001002501,2648.0
397,population,,,2015,,11001002502,5852.0
398,population,,,2015,,11001002600,2573.0
399,population,,,2015,,11001002701,5428.0
400,population,,,2015,,11001002702,6300.0
401,population,,,2015,,11001002801,4033.0
402,population,,,2015,,11001002802,4750.0
403,population,,,2015,,11001002900,4567.0
404,population,,,2015,,11001003000,3534.0
405,population,,,2015,,11001003100,3350.0
406,population,,,2015,,11001003200,4997.0
407,population,,,2015,,11001003301,3619.0
408,population,,,2015,,11001003302,2338.0
409,population,,,2015,,11001003400,4716.0
410,population,,,2015,,11001003500,5603.0
411,population,,,2015,,11001003600,5036.0
412,population,,,2015,,11001003700,5860.0
413,population,,,2015,,11001003800,4969.0
414,population,,,2015,,11001003900,4492.0
415,population,,,2015,,11001004001,4120.0
416,population,,,2015,,11001004002,2998.0
417,population,,,2015,,11001004100,2759.0
418,population,,,2015,,11001004201,3625.0
419,population,,,2015,,11001004202,2635.0
420,population,,,2015,,11001004300,3720.0
421,population,,,2015,,11001004400,5702.0
422,population,,,2015,,11001004600,2947.0
423,population,,,2015,,11001004701,4478.0
424,population,,,2015,,11001004702,2558.0
425,population,,,2015,,11001004801,2223.0
426,population,,,2015,,11001004802,3548.0
427,population,,,2015,,11001004901,2600.0
428,population,,,2015,,11001004902,2842.0
429,population,,,2015,,11001005001,2116.0
430,population,,,2015,,11001005002,6051.0
431,population,,,2015,,11001005201,6224.0
432,population,,,2015,,11001005301,4999.0
433,population,,,2015,,11001005500,6632.0
434,population,,,2015,,11001005600,6964.0
435,population,,,2015,,11001005800,2781.0
436,population,,,2015,,11001005900,2882.0
437,population,,,2015,,11001006202,117.0
438,population,,,2015,,11001006400,2130.0
439,population,,,2015,,11001006500,2583.0
440,population,,,2015,,11001006600,1904.0
441,population,,,2015,,11001006700,4213.0
442,population,,,2015,,11001006801,2017.0
443,population,,,2015,,11001006802,2342.0
444,population,,,2015,,11001006804,2949.0
445,population,,,2015,,11001006900,2181.0
446,population,,,2015,,11001007000,2794.0
447,population,,,2015,,11001007100,3064.0
448,population,,,2015,,11001007200,4584.0
449,population,,,2015,,11001007301,4002.0
450,population,,,2015,,11001007304,3514.0
451,population,,,2015,,11001007401,2453.0
452,population,,,2015,,11001007403,3500.0
453,population,,,2015,,11001007404,3795.0
454,population,,,2015,,11001007406,3061.0
455,population,,,2015,,11001007407,2734.0
456,population,,,2015,,11001007408,3548.0
457,population,,,2015,,11001007409,3802.0
458,population,,,2015,,11001007502,5361.0
459,population,,,2015,,11001007503,2694.0
460,population,,,2015,,11001007504,2780.0
461,population,,,2015,,11001007601,4182.0
462,population,,,2015,,11001007603,3950.0
463,population,,,2015,,11001007604,3766.0
464,population,,,2015,,11001007605,3609.0
465,population,,,2015,,11001007703,5267.0
466,population,,,2015,,11001007707,4423.0
467,population,,,2015,,11001007708,3070.0
468,population,,,2015,,11001007709,2165.0
469,population,,,2015,,11001007803,3473.0
470,population,,,2015,,11001007804,3214.0
471,population,,,2015,,11001007806,2080.0
472,population,,,2015,,11001007807,2314.0
473,population,,,2015,,11001007808,4289.0
474,population,,,2015,,11001007809,2805.0
475,population,,,2015,,11001007901,3951.0
476,population,,,2015,,11001007903,1825.0
477,population,,,2015,,11001008001,3184.0
478,population,,,2015,,11001008002,3546.0
479,population,,,2015,,11001008100,3212.0
480,population,,,2015,,11001008200,2929.0
481,population,,,2015,,11001008301,2383.0
482,population,,,2015,,11001008302,2409.0
483,population,,,2015,,11001008402,2133.0
484,population,,,2015,,11001008410,1355.0
485,population,,,2015,,11001008701,2311.0
486,population,,,2015,,11001008702,1930.0
487,population,,,2015,,11001008802,4598.0
488,population,,,2015,,11001008803,2148.0
489,population,,,2015,,11001008804,2442.0
490,population,,,2015,,11001008903,3465.0
491,population,,,2015,,11001008904,3046.0
492,population,,,2015,,11001009000,3049.0
